Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11,4.57527,4.58571,4.5599,4.57401,4.57401,0.0
2021-03-12,4.58144,4.59619,4.5753,4.57964,4.57964,0.0
2021-03-15,4.57805,4.59076,4.5744,4.57808,4.57808,0.0
2021-03-16,4.58781,4.59596,4.5838,4.58759,4.58759,0.0
2021-03-17,4.5905,4.61666,4.5901,4.5906,4.5906,0.0
2021-03-18,4.59619,4.62747,4.5913,4.59619,4.59619,0.0
2021-03-19,4.61766,4.62363,4.6094,4.61857,4.61857,0.0
2021-03-22,4.6211,4.62334,4.5878,4.62029,4.62029,0.0
2021-03-23,4.59306,4.6192,4.5877,4.5909,4.5909,0.0
2021-03-24,4.61785,4.63367,4.6112,4.61808,4.61808,0.0
2021-03-25,4.62432,4.6455,4.6213,4.62408,4.62408,0.0
2021-03-26,4.62946,4.64947,4.62535,4.63146,4.63146,0.0
2021-03-29,4.6318,4.6702,4.6279,4.6296,4.6296,0.0
2021-03-30,4.661,4.66813,4.63725,4.6613,4.6613,0.0
2021-03-31,4.65364,4.66791,4.6284,4.653,4.653,0.0
2021-04-01,4.62548,4.63505,4.5851,4.6272,4.6272,0.0
2021-04-02,4.5835,4.6072,4.5742,4.58628,4.58628,0.0
2021-04-05,4.60338,4.60759,4.5778,4.5994,4.5994,0.0
2021-04-06,4.5892,4.60581,4.5835,4.58822,4.58822,0.0
2021-04-07,4.58841,4.60149,4.56155,4.5862,4.5862,0.0
2021-04-08,4.57124,4.5737,4.5361,4.57016,4.57016,0.0
2021-04-09,4.54271,4.55335,4.5264,4.54334,4.54334,0.0
2021-04-12,4.5279,4.5348,4.5182,4.53063,4.53063,0.0
2021-04-13,4.528,4.5702,4.5276,4.52959,4.52959,0.0
2021-04-14,4.56368,4.56552,4.5467,4.5616,4.5616,0.0
2021-04-15,4.55229,4.5601,4.5463,4.5496,4.5496,0.0
2021-04-16,4.55114,4.55572,4.5364,4.54969,4.54969,0.0
2021-04-19,4.5388,4.55325,4.536,4.54013,4.54013,0.0
2021-04-20,4.54946,4.55676,4.5427,4.54946,4.54946,0.0
2021-04-21,4.5472,4.56214,4.5434,4.55,4.55,0.0
2021-04-22,4.5527,4.56331,4.5481,4.55445,4.55445,0.0
2021-04-23,4.56321,4.56856,4.5517,4.56266,4.56266,0.0
2021-04-26,4.55051,4.56049,4.5466,4.55066,4.55066,0.0
2021-04-27,4.5581,4.57305,4.5493,4.5549,4.5549,0.0
2021-04-28,4.56753,4.59191,4.565,4.56771,4.56771,0.0
2021-04-29,4.56412,4.58585,4.5598,4.5721,4.5721,0.0
2021-04-30,4.56579,4.57015,4.54676,4.56544,4.56544,0.0
2021-05-03,4.55783,4.55783,4.5374,4.55795,4.55795,0.0
2021-05-04,4.54082,4.56195,4.5371,4.54,4.54,0.0
2021-05-05,4.55112,4.58255,4.5476,4.55267,4.55267,0.0
2021-05-06,4.57324,4.58915,4.5623,4.57322,4.57322,0.0
2021-05-07,4.5692,4.5857,4.5452,4.5685,4.5685,0.0
2021-05-10,4.55016,4.57477,4.5457,4.55101,4.55101,0.0
2021-05-11,4.55415,4.56979,4.5421,4.55784,4.55784,0.0
2021-05-12,4.53759,4.5472,4.534,4.53842,4.53842,0.0
2021-05-13,4.55193,4.5553,4.5179,4.55149,4.55149,0.0
2021-05-14,4.52363,4.53808,4.515,4.5217,4.5217,0.0
2021-05-17,4.52495,4.54318,4.5142,4.52468,4.52468,0.0
2021-05-18,4.52656,4.53292,4.5146,4.52668,4.52668,0.0
2021-05-19,4.52005,4.53112,4.5127,4.52022,4.52022,0.0
2021-05-20,4.52251,4.52421,4.4877,4.5201,4.5201,0.0
2021-05-21,4.49453,4.50373,4.4812,4.49387,4.49387,0.0
2021-05-24,4.49173,4.4942,4.4752,4.49154,4.49154,0.0
2021-05-25,4.48079,4.48563,4.4734,4.4773,4.4773,0.0
2021-05-26,4.48049,4.49926,4.475,4.4779,4.4779,0.0
2021-05-27,4.4962,4.50126,4.4771,4.49869,4.49869,0.0
2021-05-28,4.48946,4.49271,4.4756,4.4894,4.4894,0.0
2021-05-31,4.48138,4.48709,4.4739,4.48132,4.48132,0.0
2021-06-01,4.47768,4.48017,4.4556,4.4739,4.4739,0.0
2021-06-02,4.45951,4.47048,4.4514,4.4556,4.4556,0.0
2021-06-03,4.45503,4.46399,4.445,4.4516,4.4516,0.0
2021-06-04,4.4561,4.47397,4.4519,4.45997,4.45997,0.0
2021-06-07,4.45367,4.47205,4.44196,4.45316,4.45316,0.0
2021-06-08,4.4619,4.47278,4.4576,4.4648,4.4648,0.0
2021-06-09,4.46132,4.47618,4.4479,4.4578,4.4578,0.0
2021-06-10,4.4695,4.48668,4.4635,4.4691,4.4691,0.0
2021-06-11,4.46609,4.49211,4.463,4.46619,4.46619,0.0
2021-06-14,4.49628,4.51614,4.483,4.49611,4.49611,0.0
2021-06-15,4.51799,4.53251,4.5129,4.51768,4.51768,0.0
2021-06-16,4.5169,4.53166,4.5044,4.5249,4.5249,0.0
2021-06-17,4.52392,4.55221,4.5192,4.52412,4.52412,0.0
2021-06-18,4.55621,4.55959,4.5384,4.55637,4.55637,0.0
2021-06-21,4.54983,4.5525,4.5238,4.55009,4.55009,0.0
2021-06-22,4.52626,4.54115,4.5142,4.52613,4.52613,0.0
2021-06-23,4.5114,4.5299,4.5057,4.512,4.512,0.0
2021-06-24,4.52738,4.5303,4.5132,4.52701,4.52701,0.0
2021-06-25,4.5177,4.52149,4.5005,4.51702,4.51702,0.0
2021-06-28,4.5075,4.51271,4.4965,4.51065,4.51065,0.0
2021-06-29,4.4976,4.52442,4.4924,4.50021,4.50021,0.0
2021-06-30,4.51793,4.52149,4.5045,4.5174,4.5174,0.0
2021-07-01,4.52135,4.52355,4.5007,4.52085,4.52085,0.0
2021-07-02,4.51155,4.52952,4.5096,4.51399,4.51399,0.0
2021-07-05,4.51032,4.51574,4.4978,4.50955,4.50955,0.0
2021-07-06,4.49948,4.51036,4.489,4.4997,4.4997,0.0
2021-07-07,4.5098,4.53647,4.5065,4.51266,4.51266,0.0
2021-07-08,4.51707,4.55243,4.51499,4.53244,4.53244,0.0
2021-07-09,4.53646,4.55107,4.5319,4.53682,4.53682,0.0
2021-07-12,4.5414,4.55937,4.5283,4.54401,4.54401,0.0
2021-07-13,4.55039,4.57954,4.5468,4.55023,4.55023,0.0
2021-07-14,4.57541,4.59237,4.5653,4.57694,4.57694,0.0
2021-07-15,4.56411,4.58238,4.5639,4.5611,4.5611,0.0
2021-07-16,4.57738,4.58903,4.5709,4.5764,4.5764,0.0
2021-07-19,4.5801,4.59828,4.5748,4.58312,4.58312,0.0
2021-07-20,4.59433,4.60093,4.5845,4.5924,4.5924,0.0
2021-07-21,4.59233,4.60012,4.5811,4.5907,4.5907,0.0
2021-07-22,4.57449,4.57822,4.5551,4.57493,4.57493,0.0
2021-07-23,4.56247,4.57435,4.5588,4.56184,4.56184,0.0
2021-07-26,4.57499,4.59548,4.5728,4.57554,4.57554,0.0
2021-07-27,4.59175,4.59862,4.5805,4.5917,4.5917,0.0
2021-07-28,4.59596,4.60006,4.5861,4.59589,4.59589,0.0
2021-07-29,4.59451,4.5968,4.5699,4.5919,4.5919,0.0
2021-07-30,4.56811,4.57798,4.5539,4.56802,4.56802,0.0
2021-08-02,4.56483,4.56978,4.5486,4.5645,4.5645,0.0
2021-08-03,4.55748,4.55914,4.5454,4.55685,4.55685,0.0
2021-08-04,4.55,4.55426,4.5321,4.55047,4.55047,0.0
2021-08-05,4.54108,4.55944,4.5376,4.54096,4.54096,0.0
2021-08-06,4.54532,4.57131,4.5386,4.54497,4.54497,0.0
2021-08-09,4.5704,4.57775,4.5583,4.5706,4.5706,0.0
2021-08-10,4.5627,4.58,4.5543,4.56266,4.56266,0.0
2021-08-11,4.57559,4.59005,4.5696,4.57458,4.57458,0.0
2021-08-12,4.57774,4.59362,4.57,4.57737,4.57737,0.0
2021-08-13,4.5713,4.58109,4.5597,4.57139,4.57139,0.0
2021-08-16,4.56419,4.56816,4.5533,4.56406,4.56406,0.0
2021-08-17,4.55785,4.5707,4.5535,4.5551,4.5551,0.0
2021-08-18,4.55534,4.5642,4.5491,4.56121,4.56121,0.0
2021-08-19,4.55506,4.59088,4.5522,4.5549,4.5549,0.0
2021-08-20,4.58028,4.59309,4.5756,4.58022,4.58022,0.0
2021-08-23,4.57383,4.58931,4.5715,4.5747,4.5747,0.0
2021-08-24,4.58148,4.58644,4.5665,4.58128,4.58128,0.0
2021-08-25,4.5726,4.57817,4.5618,4.57168,4.57168,0.0
2021-08-26,4.57303,4.57743,4.5635,4.57224,4.57224,0.0
2021-08-27,4.57255,4.58426,4.5659,4.57227,4.57227,0.0
